08 12 2018 13 22 00 00000000 00110000   -0.013   -0.356   -0.082    22    21    22  13.7 1521.8 1521.9 298.6 -22.8  29.2   0.000   0.000  20.15     0 15218    0.356   182.09
08 12 2018 13 23 00 00000000 00110000    0.120    0.043   -0.217    22    21    22  13.7 1521.8 1521.9 298.7 -22.8  29.3   0.000   0.000  20.16     0 15218    0.127    70.29
08 12 2018 13 24 00 00000000 00110000    0.079    0.022    0.022    22    21    22  13.7 1521.8 1521.9 296.1 -22.8  29.2   0.000   0.000  20.16     0 15218    0.082    74.44
08 12 2018 13 25 00 00000000 00110000    0.062    0.265   -0.036    22    21    22  13.7 1521.8 1521.9 297.2 -22.8  29.2   0.000   0.000  20.16     0 15218    0.272    13.17
08 12 2018 13 26 00 00000000 00110000    0.076   -0.048    0.264    22    21    22  13.7 1521.9 1521.9 298.5 -22.8  29.2   0.000   0.000  20.17     0 15219    0.090   122.28
08 12 2018 13 27 00 00000000 00110000    0.211    0.101   -0.177    22    21    22  13.7 1521.9 1521.9 295.7 -22.8  29.2   0.000   0.000  20.17     0 15219    0.234    64.42
08 12 2018 13 28 00 00000000 00110000   -0.002    0.182    0.309    22    21    22  13.7 1521.9 1522.0 295.3 -22.8  29.2   0.000   0.000  20.18     0 15219    0.182   359.37
08 12 2018 13 29 00 00000000 00110000    0.251    0.090    0.232    22    21    22  13.7 1521.9 1522.0 295.9 -22.8  29.2   0.000   0.000  20.18     0 15219    0.267    70.27
08 12 2018 13 30 00 00000000 00110000   -0.019   -0.036   -0.070    22    21    22  13.7 1521.9 1522.0 298.2 -22.8  29.2   0.000   0.000  20.19     0 15219    0.041   207.82
08 12 2018 13 31 00 00000000 00110000    0.190   -0.059    0.018    22    21    22  13.7 1521.9 1522.0 300.0 -22.8  29.2   0.000   0.000  20.19     0 15219    0.199   107.25
08 12 2018 13 32 00 00000000 00110000   -0.102   -0.055   -0.071    22    21    22  13.7 1521.9 1522.0 301.3 -22.8  29.2   0.000   0.000  20.19     0 15219    0.116   241.67
